31-03-2026 19:17:56 | GET | cafeteria-api/categorias
31-03-2026 19:18:00 | GET | cafeteria-api/categorias
31-03-2026 19:18:08 | GET | cafeteria-api/produtos
31-03-2026 19:18:21 | GET | cafeteria-api/categorias
31-03-2026 19:18:29 | GET | cafeteria-api/produtos
31-03-2026 19:18:35 | GET | cafeteria-api/produtos
31-03-2026 19:18:42 | GET | cafeteria-api/produtos
31-03-2026 19:18:46 | GET | cafeteria-api/produtos
31-03-2026 19:18:49 | GET | cafeteria-api/produtos
31-03-2026 19:18:50 | GET | cafeteria-api/categorias
31-03-2026 19:19:10 | GET | cafeteria-api/categorias
31-03-2026 19:19:15 | GET | cafeteria-api/categorias
31-03-2026 19:19:17 | GET | cafeteria-api/categorias
31-03-2026 19:19:20 | GET | cafeteria-api/categorias
31-03-2026 19:19:22 | GET | cafeteria-api/categorias
31-03-2026 19:19:25 | GET | cafeteria-api/categorias
31-03-2026 19:19:26 | GET | cafeteria-api/categorias
31-03-2026 19:19:35 | GET | cafeteria-api/categorias
31-03-2026 19:19:49 | GET | cafeteria-api/categorias
31-03-2026 19:21:30 | GET | cafeteria-api/categorias
31-03-2026 19:23:25 | GET | cafeteria-api/produtos
31-03-2026 19:37:38 | GET | cafeteria-api/categorias
31-03-2026 19:37:50 | GET | cafeteria-api/produtos
31-03-2026 19:41:49 | GET | cafeteria-api/produtos
31-03-2026 19:41:51 | GET | cafeteria-api/produtos
31-03-2026 19:41:52 | GET | cafeteria-api/produtos
31-03-2026 19:41:56 | GET | cafeteria-api/produtos
31-03-2026 19:41:57 | GET | cafeteria-api/produtos
31-03-2026 19:42:06 | GET | cafeteria-api/produtos
31-03-2026 19:42:17 | GET | cafeteria-api/produtos
31-03-2026 19:42:22 | GET | cafeteria-api/produtos
31-03-2026 19:43:51 | GET | cafeteria-api/produtos
31-03-2026 19:45:07 | GET | cafeteria-api/categorias
31-03-2026 19:45:42 | GET | cafeteria-api/categorias
31-03-2026 19:45:48 | GET | cafeteria-api/categorias
31-03-2026 19:45:52 | GET | cafeteria-api/categorias
31-03-2026 19:47:53 | GET | cafeteria-api/categorias
31-03-2026 19:47:54 | GET | cafeteria-api/categorias
31-03-2026 19:47:57 | GET | cafeteria-api/categorias
31-03-2026 19:48:16 | GET | cafeteria-api/produtos
31-03-2026 19:48:21 | GET | cafeteria-api/categorias
31-03-2026 19:50:36 | GET | cafeteria-api/categorias
31-03-2026 19:50:40 | GET | cafeteria-api/categorias
31-03-2026 19:50:42 | GET | cafeteria-api/categorias
31-03-2026 19:50:46 | GET | cafeteria-api/categorias
31-03-2026 19:51:46 | GET | cafeteria-api/categorias
31-03-2026 19:52:50 | GET | cafeteria-api/categorias
31-03-2026 19:53:00 | GET | cafeteria-api/produtos
31-03-2026 19:59:35 | GET | cafeteria-api/produtos
31-03-2026 19:59:58 | GET | cafeteria-api/produtos
07-04-2026 13:15:33 | GET | cafeteria-api/categorias
07-04-2026 13:15:48 | POST | cafeteria-api/categorias
07-04-2026 13:15:48 | GET | cafeteria-api/categorias
07-04-2026 13:15:57 | POST | cafeteria-api/categorias
07-04-2026 13:15:57 | GET | cafeteria-api/categorias
07-04-2026 13:16:02 | POST | cafeteria-api/categorias
07-04-2026 13:16:02 | GET | cafeteria-api/categorias
07-04-2026 13:16:04 | GET | cafeteria-api/produtos
07-04-2026 13:23:52 | GET | cafeteria-api/produtos
07-04-2026 13:24:14 | OPTIONS | cafeteria-api/produtos
07-04-2026 13:24:14 | POST | cafeteria-api/produtos
07-04-2026 13:24:14 | GET | cafeteria-api/produtos
07-04-2026 13:26:22 | GET | cafeteria-api/produtos
07-04-2026 13:27:34 | OPTIONS | cafeteria-api/produtos
07-04-2026 13:27:34 | POST | cafeteria-api/produtos
07-04-2026 13:27:34 | GET | cafeteria-api/produtos
