2026-04-10 15:50:46 | GET | meus-planos-api/produtos
2026-04-10 15:50:49 | GET | meus-planos-api/produtos
2026-04-10 15:51:47 | GET | meus-planos-api/categorias
2026-04-10 15:51:54 | OPTIONS | meus-planos-api/categorias
2026-04-10 15:51:54 | POST | meus-planos-api/categorias
2026-04-10 15:51:54 | GET | meus-planos-api/categorias
2026-04-10 15:51:57 | OPTIONS | meus-planos-api/categorias/4
2026-04-10 15:51:57 | DELETE | meus-planos-api/categorias/4
2026-04-10 15:51:57 | GET | meus-planos-api/categorias
2026-04-10 15:55:33 | GET | meus-planos-api/categorias
2026-04-10 15:55:33 | GET | meus-planos-api/categorias
2026-04-10 15:55:59 | GET | meus-planos-api/categorias
2026-04-10 15:56:03 | GET | meus-planos-api/categorias
2026-04-10 15:56:03 | GET | meus-planos-api/produtos
2026-04-10 15:56:13 | GET | meus-planos-api/categorias
2026-04-10 15:57:09 | GET | meus-planos-api/itens
2026-04-10 16:01:55 | GET | meus-planos-api/categorias
2026-04-10 16:01:59 | GET | meus-planos-api/categorias
2026-04-10 16:02:00 | GET | meus-planos-api/produtos
2026-04-10 16:02:09 | GET | meus-planos-api/produtos
2026-04-10 16:02:26 | GET | meus-planos-api/produtos
2026-04-10 16:02:28 | GET | meus-planos-api/produtos
2026-04-10 16:02:29 | GET | meus-planos-api/produtos
2026-04-10 16:03:52 | GET | meus-planos-api/produtos
2026-04-10 16:03:54 | GET | meus-planos-api/categorias
2026-04-10 16:03:54 | GET | meus-planos-api/produtos
2026-04-10 16:03:54 | GET | meus-planos-api/categorias
2026-04-10 16:03:54 | GET | meus-planos-api/produtos
2026-04-10 16:04:17 | GET | meus-planos-api/categorias
2026-04-10 16:04:17 | GET | meus-planos-api/produtos
2026-04-10 16:04:20 | GET | meus-planos-api/categorias
2026-04-10 16:04:20 | GET | meus-planos-api/produtos
2026-04-10 16:04:22 | GET | meus-planos-api/categorias
2026-04-10 16:04:22 | GET | meus-planos-api/produtos
2026-04-10 16:04:25 | GET | meus-planos-api/categorias
2026-04-10 16:04:29 | OPTIONS | meus-planos-api/categorias
2026-04-10 16:04:29 | POST | meus-planos-api/categorias
2026-04-10 16:04:29 | GET | meus-planos-api/categorias
2026-04-10 16:04:31 | OPTIONS | meus-planos-api/categorias/5
2026-04-10 16:04:31 | DELETE | meus-planos-api/categorias/5
2026-04-10 16:04:31 | GET | meus-planos-api/categorias
2026-04-10 16:04:44 | GET | meus-planos-api/categorias
2026-04-10 16:04:44 | GET | meus-planos-api/produtos
2026-04-10 16:05:05 | GET | meus-planos-api/categorias
2026-04-10 16:07:32 | GET | meus-planos-api/categorias
2026-04-10 16:07:32 | GET | meus-planos-api/planos
2026-04-10 16:07:32 | GET | meus-planos-api/categorias
2026-04-10 16:07:32 | GET | meus-planos-api/planos
2026-04-10 16:07:36 | GET | meus-planos-api/categorias
2026-04-10 16:07:36 | GET | meus-planos-api/planos
2026-04-10 16:07:36 | GET | meus-planos-api/categorias
2026-04-10 16:07:37 | GET | meus-planos-api/planos
2026-04-10 16:07:37 | GET | meus-planos-api/categorias
2026-04-10 16:07:37 | GET | meus-planos-api/planos
2026-04-10 16:07:37 | GET | meus-planos-api/categorias
2026-04-10 16:07:37 | GET | meus-planos-api/planos
2026-04-10 16:08:28 | GET | meus-planos-api/categorias
2026-04-10 16:08:28 | GET | meus-planos-api/planos
2026-04-10 16:08:29 | GET | meus-planos-api/categorias
2026-04-10 16:08:29 | GET | meus-planos-api/planos
2026-04-10 16:09:31 | GET | meus-planos-api/categorias
2026-04-10 16:09:31 | GET | meus-planos-api/categorias
2026-04-10 16:09:34 | GET | meus-planos-api/categorias
2026-04-10 16:09:34 | GET | meus-planos-api/categorias
2026-04-10 16:09:38 | GET | meus-planos-api/categorias
2026-04-10 16:10:03 | GET | meus-planos-api/categorias
2026-04-10 16:10:14 | GET | meus-planos-api/categorias
2026-04-10 16:11:55 | GET | meus-planos-api/categorias
2026-04-10 16:11:55 | GET | meus-planos-api/categorias
2026-04-10 16:11:57 | GET | meus-planos-api/categorias
2026-04-10 16:12:19 | GET | meus-planos-api/categorias
2026-04-10 16:12:22 | GET | meus-planos-api/categorias
2026-04-10 16:12:24 | GET | meus-planos-api/categorias
2026-04-10 16:12:27 | GET | meus-planos-api/categorias
2026-04-10 16:13:55 | GET | meus-planos-api/categorias
2026-04-10 16:13:55 | GET | meus-planos-api/planos
2026-04-10 16:13:55 | GET | meus-planos-api/categorias
2026-04-10 16:13:55 | GET | meus-planos-api/planos
2026-04-10 16:13:59 | GET | meus-planos-api/categorias
2026-04-10 16:13:59 | GET | meus-planos-api/planos
2026-04-10 16:13:59 | GET | meus-planos-api/categorias
2026-04-10 16:13:59 | GET | meus-planos-api/planos
2026-04-10 16:14:01 | GET | meus-planos-api/categorias
2026-04-10 16:14:01 | GET | meus-planos-api/planos
2026-04-10 16:14:02 | GET | meus-planos-api/categorias
2026-04-10 16:14:05 | GET | meus-planos-api/categorias
2026-04-10 16:14:11 | GET | meus-planos-api/categorias
2026-04-10 16:14:11 | GET | meus-planos-api/planos
2026-04-10 16:16:29 | GET | meus-planos-api/categorias
2026-04-10 16:18:33 | GET | meus-planos-api/categorias
2026-04-10 16:18:51 | GET | meus-planos-api/itens
2026-04-10 16:18:51 | GET | meus-planos-api/categorias
2026-04-10 16:18:52 | GET | meus-planos-api/categorias
2026-04-10 16:18:52 | GET | meus-planos-api/itens
2026-04-10 16:19:00 | GET | meus-planos-api/categorias
2026-04-10 16:19:00 | GET | meus-planos-api/itens
2026-04-10 16:19:18 | OPTIONS | meus-planos-api/itens
2026-04-10 16:19:18 | POST | meus-planos-api/itens
2026-04-10 16:19:18 | GET | meus-planos-api/itens
2026-04-10 16:19:20 | OPTIONS | meus-planos-api/itens/1
2026-04-10 16:19:20 | PUT | meus-planos-api/itens/1
2026-04-10 16:19:21 | PUT | meus-planos-api/itens/1
2026-04-10 16:19:22 | PUT | meus-planos-api/itens/1
2026-04-10 16:20:28 | GET | meus-planos-api/categorias
2026-04-10 16:20:28 | GET | meus-planos-api/categorias
2026-04-10 16:20:28 | GET | meus-planos-api/itens
2026-04-10 16:20:30 | GET | meus-planos-api/categorias
2026-04-10 16:20:31 | OPTIONS | meus-planos-api/itens/1
2026-04-10 16:20:31 | PUT | meus-planos-api/itens/1
2026-04-10 16:20:34 | PUT | meus-planos-api/itens/1
2026-04-10 16:20:37 | OPTIONS | meus-planos-api/itens/1
2026-04-10 16:20:37 | PUT | meus-planos-api/itens/1
2026-04-10 16:22:04 | GET | meus-planos-api/categorias
2026-04-10 16:22:04 | GET | meus-planos-api/itens
2026-04-10 16:22:05 | GET | meus-planos-api/itens
rias
2026-04-10 16:22:08 | GET | meus-planos-api/categorias
2026-04-10 16:22:10 | OPTIONS | meus-planos-api/itens/1
2026-04-10 16:22:10 | PUT | meus-planos-api/itens/1
2026-04-10 16:22:16 | OPTIONS | meus-planos-api/itens/1
2026-04-10 16:22:16 | PUT | meus-planos-api/itens/1
2026-04-10 16:22:17 | PUT | meus-planos-api/itens/1
2026-04-10 16:22:55 | GET | meus-planos-api/itens
2026-04-10 16:22:55 | GET | meus-planos-api/categorias
2026-04-10 16:24:56 | GET | meus-planos-api/categorias
2026-04-10 16:24:56 | GET | meus-planos-api/itens
2026-04-10 16:24:59 | GET | meus-planos-api/categorias
2026-04-10 16:24:59 | GET | meus-planos-api/itens
2026-04-10 16:25:01 | OPTIONS | meus-planos-api/itens/1
2026-04-10 16:25:01 | PUT | meus-planos-api/itens/1
